emp_id,name,age,department,region,salary,exp_years
1004,Aadhya,45,Finance,East,35000,3
1016,Anika,50,Marketing,South,95000,10
1018,Ananya,28,Sales,South,42000,12
1021,Saanvi,45,Engineering,North,55000,2
1023,Saanvi,50,Finance,East,85000,15
1026,Anika,28,Sales,South,55000,7
1032,Reyansh,50,Sales,South,60000,15
1037,Dev,30,Engineering,South,42000,1
1042,Reyansh,22,Finance,East,85000,1
1054,Aryan,45,Marketing,East,42000,12
1055,Kabir,22,Engineering,North,55000,7
1056,Saanvi,45,Finance,South,35000,2
1058,Kiara,28,Engineering,North,85000,1
1059,Aisha,30,Sales,East,85000,12
1003,Vivaan,30,Sales,East,60000,12
1005,Kiara,35,Marketing,West,60000,10
1007,Tara,33,Engineering,South,42000,12
1009,Diya,30,Marketing,East,60000,2
1011,Aisha,30,Marketing,East,55000,5
1028,Vihaan,35,HR,South,42000,5
1029,Aadhya,25,Marketing,East,60000,5
1036,Anika,45,Sales,South,55000,7
1041,Kiara,50,HR,West,60000,7
1047,Arjun,30,Marketing,South,55000,7
1006,Ananya,25,HR,East,85000,10
1008,Vivaan,50,Marketing,West,60000,2
1012,Saanvi,45,HR,North,60000,10
1013,Diya,30,Engineering,North,95000,7
1014,Vivaan,30,Finance,North,60000,15
1015,Vihaan,45,Sales,North,55000,5
1024,Aarav,25,Marketing,North,60000,1
1034,Kiara,40,HR,East,42000,1
1038,Anika,22,Engineering,West,55000,12
1039,Riya,45,Sales,South,35000,3
1044,Saanvi,25,Finance,East,60000,12
1057,Vivaan,28,Finance,East,85000,3
1001,Ananya,22,Marketing,West,60000,3
1002,Ananya,50,Engineering,South,35000,1
1010,Vihaan,33,HR,North,55000,10
1017,Aadhya,28,Finance,South,42000,1
1020,Anika,33,Marketing,East,72000,12
1022,Myra,50,Finance,West,55000,10
1030,Aarav,25,Engineering,West,42000,1
1031,Arjun,25,Finance,West,72000,15
1033,Kiara,30,Engineering,East,95000,10
1035,Vihaan,35,Engineering,West,60000,5
1049,Vivaan,50,Sales,North,55000,10
1050,Vivaan,30,Marketing,North,55000,15
1051,Anika,33,Finance,East,72000,2
1052,Ishaan,33,Engineering,East,55000,7
1060,Tara,28,Sales,West,55000,12
1045,Ananya,35,Sales,East,42000,12
1053,Myra,35,Sales,North,60000,7
1027,Aryan,35,HR,West,60000,7
1019,Vihaan,35,HR,North,35000,2
1043,Diya,35,HR,West,35000,2
1046,Krish,35,Finance,North,72000,5
