customer_id,customer_name,total_orders,statuses_seen
C0504,David Ortega,6,"SHIPPED,PLACED,RETURNED,CANCELLED"
C0276,Lisa Cox,5,"PLACED,RETURNED,SHIPPED"
C0432,Andrew Gonzales,5,"CANCELLED,RETURNED,SHIPPED"
C0679,Kara Jackson,5,"SHIPPED,CANCELLED,PLACED"
C0111,Sandra King,4,"SHIPPED,PLACED"
C0185,Jessica Garcia,4,"PLACED,SHIPPED"
C0653,Benjamin Mcmahon,4,"CANCELLED,PLACED,RETURNED,SHIPPED"
C0654,Lisa Webb,4,"CANCELLED,PLACED,SHIPPED"
C0708,Micheal Parks,4,"PLACED,SHIPPED"
C0743,Maria Bryant,4,"SHIPPED,RETURNED,PLACED"
C0751,Kevin Pham,4,"RETURNED,PLACED,SHIPPED"
C0010,Amber Perez,3,"PLACED,SHIPPED"
C0031,Theresa Martin,3,PLACED
C0280,Matthew Rangel,3,"SHIPPED,CANCELLED,PLACED"
C0346,Elizabeth Martin,3,"CANCELLED,SHIPPED,PLACED"
C0349,Anna Davidson,3,"SHIPPED,PLACED"
C0373,Katie Hicks,3,"SHIPPED,PLACED"
C0407,David Molina,3,"SHIPPED,PLACED"
C0444,Lindsey Russo,3,"CANCELLED,PLACED,SHIPPED"
C0454,Mr. Michael Scott PhD,3,"PLACED,CANCELLED"
C0617,Matthew Lamb,3,PLACED
C0621,Amanda Harvey,3,PLACED
C0671,Beth Henderson,3,"SHIPPED,PLACED"
C0694,James Martin,3,"PLACED,SHIPPED"
C0736,Debra Obrien,3,"PLACED,SHIPPED,CANCELLED"
C0757,Mr. Martin Hernandez,3,"SHIPPED,RETURNED"
C0769,Michaela Williams,3,"SHIPPED,PLACED"
C0797,Christopher Fleming,3,"CANCELLED,PLACED"
C0014,William Bowman,2,"PLACED,SHIPPED"
C0038,Timothy Duncan,2,"CANCELLED,SHIPPED"
C0040,Jason Shields,2,"CANCELLED,SHIPPED"
C0050,Kim Brown,2,"RETURNED,SHIPPED"
C0055,Michael Evans,2,PLACED
C0062,Michelle Harris,2,"RETURNED,PLACED"
C0092,Stephen Johnston,2,"PLACED,CANCELLED"
C0114,Alex Hernandez,2,SHIPPED
C0117,Carla Collins,2,"PLACED,SHIPPED"
C0121,Kylie Williams,2,"PLACED,RETURNED"
C0137,John Hardy,2,"CANCELLED,PLACED"
C0162,Donna Landry,2,"RETURNED,PLACED"
C0187,Elaine Brooks,2,"SHIPPED,CANCELLED"
C0193,Jessica Wright,2,PLACED
C0200,Jacob Anderson,2,PLACED
C0204,Brenda Levy,2,CANCELLED
C0212,Travis Horton,2,"PLACED,SHIPPED"
C0217,Donald Donaldson,2,"CANCELLED,PLACED"
C0234,Jesse Perry,2,"SHIPPED,PLACED"
C0239,Michelle Schmitt,2,"PLACED,SHIPPED"
C0268,Victoria Morris,2,"SHIPPED,RETURNED"
C0271,Jacob Mitchell,2,"PLACED,SHIPPED"
C0272,Katie Ford,2,SHIPPED
C0277,George Harper,2,"PLACED,SHIPPED"
C0283,Michael Romero,2,PLACED
C0310,Shane Williams,2,"SHIPPED,PLACED"
C0314,Melinda Pollard,2,SHIPPED
C0321,Kathleen Jimenez,2,PLACED
C0339,William Conner,2,PLACED
C0363,Kyle Cameron,2,"PLACED,RETURNED"
C0395,Curtis Maynard,2,SHIPPED
C0402,Corey Rodriguez,2,"CANCELLED,SHIPPED"
C0425,Victor Baxter,2,"PLACED,SHIPPED"
C0426,Willie Long,2,"SHIPPED,PLACED"
C0439,Paul Wells,2,"PLACED,RETURNED"
C0464,Corey Fox,2,"PLACED,SHIPPED"
